order_id,customer_id,order_date,amount,amount_cents,currency,order_status,payment_method,discount_amount,item_count
1000,12,2026-05-14,261.2,26120,COP,pending,pse,0.0,4
1001,2,2026-04-03,347.6,34760,COP,pending,transfer,0.0,4
1002,23,2026-02-22,114.8,11480,USD,paid,transfer,0.0,5
1003,36,2026-04-21,320.8,32080,MXN,paid,card,0.0,5
1004,48,2026-05-07,163.0,16300,COP,paid,pse,0.0,3
1005,4,2026-06-03,123.4,12340,COP,refunded,transfer,0.0,5
1006,48,2026-04-27,363.6,36360,COP,paid,paypal,0.0,2
1007,6,2026-01-03,184.1,18410,MXN,cancelled,paypal,0.0,2
1008,18,2026-01-25,126.1,12610,USD,refunded,pse,0.0,5
1009,50,2026-06-16,196.3,19630,MXN,pending,paypal,0.0,4
1010,50,2026-05-27,300.7,30070,MXN,pending,cash,13.4,5
1011,3,2026-02-17,386.8,38680,COP,paid,card,0.0,4
1012,47,2026-05-17,180.8,18080,COP,cancelled,card,0.0,3
1013,33,2026-06-11,24.8,2480,USD,paid,transfer,0.0,1
1014,25,2026-04-12,274.8,27480,MXN,cancelled,transfer,0.0,5
1015,8,2026-04-03,73.5,7350,COP,paid,paypal,0.0,4
1016,34,2026-01-24,44.2,4420,MXN,paid,paypal,0.0,5
1017,38,2026-02-08,195.2,19520,COP,paid,transfer,0.0,1
1018,41,2026-06-02,137.4,13740,COP,paid,card,14.1,2
1019,8,2026-04-05,324.5,32450,COP,refunded,paypal,0.0,5
1020,20,2026-04-28,358.8,35880,COP,paid,paypal,0.0,5
1021,48,2026-06-06,382.1,38210,COP,paid,card,0.0,4
1022,36,2026-05-20,276.5,27650,MXN,pending,card,28.2,3
1023,27,2026-03-02,282.3,28230,USD,paid,pse,0.0,2
1024,23,2026-01-14,40.2,4020,USD,pending,card,0.0,4
1025,32,2026-06-08,124.3,12430,USD,paid,pse,0.0,2
1026,21,2026-01-25,173.6,17360,MXN,pending,paypal,0.0,1
1027,16,2026-04-18,75.0,7500,USD,paid,cash,0.0,5
1028,42,2026-04-05,349.4,34940,USD,paid,transfer,14.5,2
1029,29,2026-01-26,361.7,36170,COP,paid,paypal,0.0,1
1030,29,2026-05-05,335.8,33580,COP,paid,transfer,0.0,2
1031,24,2026-01-26,169.9,16990,MXN,paid,pse,0.0,4
